user_id,book_id,rating
141,9.78053E+12,4.3
4005,9.78501E+12,3.8
7339,9.78E+12,3.4
4614,(ISBN10: 1612,2.3
3432,9.78086E+12,4.6
4643,9.78009E+12,4.2
9701,9.78191E+12,3.0
8221,9.78176E+12,3.7
5022,9.7813E+12,3.8
1798,9.78067E+12,5.0
7441,9.78035E+12,4.0
8206,9.78192E+12,3.6
7491,9.78093E+12,4.2
959,9.78024E+12,3.4
8537,9.78173E+12,3.0
3492,9.78022E+12,3.2
8601,9.78098E+12,5.0
385,9.78057E+12,5.0
9973,9.78001E+12,2.2
3968,9.78144E+12,4.2
5634,9.7813E+12,4.1
2221,9.78161E+12,4.5
6292,9.78069E+12,1.8
4311,(ISBN10: 0991,3.7
8989,9.78225E+12,4.6
8245,9.78089E+12,5.0
6285,9.78134E+12,4.3
3179,9.78185E+12,2.9
2888,0009036119976,3.4
3064,9.78193E+12,3.1
1671,9.78192E+12,3.2
4976,(ISBN10: 0316,3.1
1155,9.78039E+12,3.9
6913,9.78069E+12,4.6
7206,(ISBN10: 1503,4.8
2954,9.78069E+12,4.7
2860,9.78167E+12,4.3
1547,9.78147E+12,4.1
6694,9.7819E+12,3.6
294,9.78152E+12,1.9
6835,9.78023E+12,3.0
2406,(ISBN10: 1957,3.3
1313,9.7982E+12,4.4
4664,(ISBN10: 1399,3.1
8735,9.78031E+12,4.3
2259,(ISBN10: 0316,4.9
2287,(ISBN10: 0228,3.7
6132,9.7885E+12,4.8
9373,9.78342E+12,4.0
546,9.78035E+12,4.6
530,9.78071E+12,3.4
9601,9.78988E+12,4.3
2347,9.78988E+12,3.8
2752,9.78162E+12,3.7
7351,9.78274E+12,3.4
7101,9.78142E+12,5.0
9072,9.78148E+12,4.0
2130,9.78185E+12,5.0
4447,9.78361E+12,5.0
5724,9.78141E+12,4.6
6502,9.7814E+12,4.7
5923,9.7819E+12,5.0
3321,9.78555E+12,3.9
3981,(ISBN10: 0440,3.0
654,9.7813E+12,4.4
4004,9.78207E+12,4.3
5588,9.78083E+12,2.3
3777,(ISBN10: 1728,4.9
5611,9.78165E+12,5.0
7350,9.78092E+12,4.3
6737,9.78188E+12,3.9
9979,9.78047E+12,3.9
8372,(ISBN10: 1957,5.0
4238,9.78099E+12,3.4
1643,(ISBN10: 1728,5.0
2707,9.78014E+12,4.2
4739,9.78148E+12,3.4
6382,9.78083E+12,3.2
6547,9.78016E+12,3.1
1263,9.78168E+12,4.3
6677,9.78082E+12,3.1
29,(ISBN10: 0590,5.0
664,9.78161E+12,3.6
3667,(ISBN10: 1503,4.1
981,9.78151E+12,4.8
2596,9.78225E+12,4.0
2305,9.78555E+12,4.8
8526,9.78971E+12,5.0
4228,9.78139E+12,3.4
9999,9.78142E+12,3.3
5465,9.78053E+12,3.4
5660,9.78093E+12,4.2
7812,(ISBN10: 0451,4.0
180,9.78003E+12,2.9
8216,9.78149E+12,5.0
9305,9.78097E+12,2.7
6154,9.78133E+12,4.1
2020,(ISBN10: 1957,4.3
253,9.78039E+12,3.2
9025,(ISBN10: 1984,3.8
4210,9.78079E+12,4.1
3644,9.78069E+12,3.6
3970,9.78062E+12,4.3
1699,(ISBN10: 0007,3.3
8287,9.78154E+12,3.6
8056,9.7802E+12,5.0
5759,9.7815E+12,5.0
9715,9.78093E+12,4.9
4397,9.78075E+12,3.8
9941,9.78096E+12,1.9
8366,9.78098E+12,5.0
1699,9.78154E+12,3.1
5771,9.78207E+12,2.4
1113,(ISBN10: 0698,3.0
8345,9.78189E+12,3.2
269,9.78083E+12,3.5
7417,9.78207E+12,4.4
7167,9.78342E+12,4.8
9697,9.78014E+12,2.9
8515,9.78059E+12,4.5
390,9.78156E+12,5.0
9054,9.78185E+12,2.1
3212,9.78071E+12,2.6
8295,2.94015E+12,4.4
2860,9.78198E+12,4.5
3004,9.78099E+12,4.2
2660,9.78165E+12,4.1
807,9.7814E+12,4.4
